cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",1,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5109
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",2,137,Associate Systems Analyst,Broad Institute,"Cambridge, MA",0.4837
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",3,145,Operations Analyst,"Open Data Science, LLC","Cambridge, MA",0.4751
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",4,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.4706
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",5,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.4581
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",6,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4509
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",7,15,Data Scientist,Catalina Marketing,"Atlanta, GA",0.4482
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",8,16,"Data Scientist, Mid",Booz Allen Hamilton,"Washington, DC",0.4481
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",9,88,Sales Engineer,Anaconda,"Austin, TX",0.4476
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",10,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.4448
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.6271
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.5547
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5512
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,52,Principal Machine / Deep Learning Scientist,JD.com,"Mountain View, CA",0.5455
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5213
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.5161
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,117,Machine Learning Eng Amazon AI,Amazon.com,"Seattle, WA",0.5086
